,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
103,-122.58101950000001,45.4622429,7939,se luther rd,,PORTLAND,,or,97206,,ba1153a63ef51acd
104,-120.4943383,46.6078981,909,e martin luther king jr blvd,,YAKIMA,,wa,98901,,b30cc0b84eab8346
105,-120.51020520000002,46.6037064,102,w martin luther king jr blvd,,YAKIMA,,wa,98902,,04b54321b06b84ce
106,-120.51317240000002,46.602998299999996,0,n 3rd ave/martin luther king jr blvd,,YAKIMA,,wa,98902,,6999ca44141bdb88
107,-120.12781389999999,46.3292476,388,luther rd,,GRANGER,,wa,98932,,0b4b569f11a2c427
108,-120.121035,46.3251749,0,luther road,, ,,wa, ,,b2818f2a048a3510
109,-120.1219253,46.3195661,1150,luther rd,,OUTLOOK,,wa,98938,,f45b943de8392ff2
110,-122.45387179999999,47.2596896,314,martin luther king jr way,,city_of_tacoma,,wa,,,51e1087508a0c344
111,-122.4533818,47.2573472,520,martin luther king j way,,city_of_tacoma,,wa,,,768b0f9a593d2208
112,-122.4505679,47.245315999999995,1710,martin luther king jr way,#D,Tacoma,,wa,98405,,a58ecf4694d03a89
113,-117.3938128,47.6591459,1112,e  martin luther king jr way,,Spokane,,wa,,,9f0ade506ec6ddf2
114,-119.28005630000001,46.300709600000005,1907,luther pl,,city_of_richland,,wa,99354,,2745775ef10b05ea
115,-122.26622890000002,47.500912799999995,11128,luther ave s,,SEATTLE,KING,wa,98178,503758,0ba611d522c44418
116,-122.28039,47.531836299999995,7860,martin luther king jr way s,,SEATTLE,KING,wa,98118,503760,f22ee8ee62af0415
117,-122.25953059999999,47.48870529999999,12658,martin luther king jr way s,,,KING,wa,98178,507366,3781898beeae9a1f
118,-122.29650590000001,47.6040877,216,martin luther king jr way,,SEATTLE,KING,wa,98122,444351,b93edf53e26e975c
119,-122.29585279999999,47.6198048,128,martin luther king jr way e,,SEATTLE,KING,wa,98112,433117,46b882fe3443f000
120,-122.27888590000002,47.5093815,10401,martin luther king jr way s,,TUKWILA,KING,wa,98178,588857,e779658b177b2175
