,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
71,-74.172271,40.754035200000004,30 1/2,martin luther king jr boulevard,,NEWARK,,nj,07104,{9BF3B2CD-E74B-40BA-B593-BCF6499A8591},ff5ea585a2f8ca1f
72,-75.1420452,39.7046374,301,martin luther king drive,,GLASSBORO,,nj,08028,{661021AC-7DBA-4B32-838B-078686185D1E},f39246d3daf1569c
73,-75.1771004,39.863786,103,luther avenue,,NATIONAL PARK,,nj,08063,{408AA588-EE06-4BB3-92D5-CD8E0990A1D2},c2e31348f0988729
74,-74.2583072,40.039936499999996,236,luther drive,,MANCHESTER,,nj,08759,{474D25CE-18E0-456B-86C3-9EB8023E5486},9f4b92c604346a73
75,-74.2112822,40.662412599999996,2,martin luther king jr plaza,,ELIZABETH,,nj,07201,{395A642A-AFA7-4EF8-A340-0B2224971435},09788690b5a1ea68
76,-74.89443179999999,40.027752500000005,50,revdrmlkingjr drive,,,,nj,,{CDFFE4B9-21B3-410F-8741-B57F41D5969A},4302bda78f286cda
77,-74.2200062,40.767815,594,dr mlk jr boulevard,,,,nj,,{1B1758E5-A4BB-4A26-9172-707383C851B7},ca9bbaf28322247f
78,-70.1974686,43.6589732,26,luther st,,Portland,Cumberland,me,04108,,b586cc7c8c82316a
79,-76.0190637,42.105885,3400,luther st,,broome,,ny,13760,,8e8ad24ce16c092f
80,-73.88182990000001,40.7003286,69-09,luther rd,,city_of_new_york,,ny,11385,100464,615db0dbb6defc77
81,-73.94713399999999,40.697301700000004,149,martin luther king jr pl,,city_of_new_york,,ny,11206,3060652,afcd0e7299219a86
82,-74.0173474,41.5020691,43,lutheran st,,NEWBURGH,,ny,12550,,c9a70294ceb84f00
83,-77.6281738,43.1336436,64,luther cir,,ROCHESTER,,ny,14611,13528000020580020000,8c610478554846e7
84,-78.67175300000001,42.724231599999996,1437,luther rd,,Aurora,,ny,14052 9712,1424891860000004032000,ed5c355b75d20608
85,-78.89613879999999,42.5346585,0,luther gulf rd,,North Collins,,ny,54208  ,1458893170000002004000,0233909b59b1de91
86,-78.97666729999999,43.0529932,10,luther ln,,Grand Island,,ny,14072  ,1446000112000001041000,419942b0d135409a
87,-78.03332270000001,42.697455700000006,3953,luther road,,Castile,Wyoming,ny,14550,WYOM005333,772a1e6a3c02ff42
88,-76.9643503,42.8797929,14,martin luther king drive,,Geneva,Ontario,ny,14456,ONTA041660,e582ad9236807512
89,-77.62833520000001,43.134137,30,luther circle,,Rochester,Monroe,ny,14611,MONR268471,5f033c1e9c3ef8ea
90,-77.8197912,43.1849107,49,luther jacobs way,,Ogden,Monroe,ny,14559,MONR160551,2f0933df78f9f9d2
91,-78.91018009999999,43.100579700000004,6697,luther street,,Wheatfield,Niagara,ny,14304,NIAG034478,c5af8e0af9186573
92,-78.976662,43.0529833,10,luther lane,,Grand Island,Erie,ny,14072,ERIE069155,4b09cae095aac4f2
93,-78.8434364,42.9062496,1,martin luther king jr parkway,,Buffalo,Erie,ny,14211,ERIE340877,59d641397ea5e2b8
94,-76.16607409999999,43.088189299999996,102,luther avenue,,Salina,Onondaga,ny,13088,ONON148391,7f1fea3220a1f33d
95,-76.1425161,43.034324,436,martin luther king east,,Syracuse,Onondaga,ny,13210,ONON135674,8bbab37b2b2eeaeb
96,-76.1580842,43.0304095,615,martin luther king west,,Syracuse,Onondaga,ny,13205,ONON055324,54d13ec2a1718071
97,-73.8351382,43.056746000000004,11,tommy luther drive,,Saratoga Springs,Saratoga,ny,12866,SARA056494,74a86ecdff9e757a
98,-73.7852627,42.947887,51,luther forest boulevard,,Malta,Saratoga,ny,12118,SARA121142,9681a3fd7ebe80e8
99,-74.6386939,42.5729968,1098,lutheranville road,,Summit,Schoharie,ny,12064,SCHO004035,383c9b4d700808b5
100,-74.0175557,41.5009347,9,lutheran street,Apartment 1,Newburgh,Orange,ny,12550,ORAN156146,eacd44cca1963a2a
101,-73.6465095,42.6015823,24,best luther road,,East Greenbush,Rensselaer,ny,12061,RENS060248,e8b8ac7dba2d319c
102,-72.3473908,40.8936049,42,luther drive,,Southampton,Suffolk,ny,11976,SUFF433747,f59e24d8428a5919
103,-73.4085687,40.8358912,24,luther place,,Huntington,Suffolk,ny,11746,SUFF424748,8fc53ee2cb54b1a0
104,-73.7683327,41.0303227,110,dr martin luther king jr boulevard,Unit 221,White Plains,Westchester,ny,10601,WEST226937,0e6cbc5a19613a71
