,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
410,-81.83346209999999,27.891575899999996,980,martin luther king jr blvd e,,BARTOW,POLK,fl,33830,253008414500082081,d032ef2e00149d8e
411,-81.9652946,27.8992495,701,dr martin luther king jr ave ne,,MULBERRY,POLK,fl,33860,233001000000023070,8d0cb4405a32f32d
412,-81.6231677,28.0140011,611,dr martin luther king st,,DUNDEE,POLK,fl,33838,272828844000023090,2a98197e363d3322
413,-81.6225079,28.123573800000003,1814,n martin luther king jr way,,HAINES CITY,POLK,fl,33844,272721753000000620,2f14ca4c615218b9
414,-81.9615983,28.0546596,940,n martin luther king jr ave,,LAKELAND,POLK,fl,33801,232813074500001010,fde35d044f4ac868
415,-81.80366409999999,27.7471652,122,dr martin luther king jr st sw,,FORT MEADE,POLK,fl,33841,253134477000002031,3dc6f08e5b72edc1
416,-81.8229395,27.891665399999997,2080,e martin luther king blvd,,BARTOW,POLK,fl,33830,253009000000033850,1e4aed61bd5f96a9
417,-81.7990742,27.7466313,126,dr martin luther king jr st se,,FORT MEADE,POLK,fl,33841,253134477000022014,6c243e03e6801bcd
418,-81.6221168,28.1205185,1305,dr martin luther king,,HAINES CITY,POLK,fl,33844,272721756000004010,805db1cbfb7d9a3d
419,-81.62243609999999,28.118077500000002,812,dr martin luther king jr way,,HAINES CITY,POLK,fl,33844,272721756000011110,c2ec92e4a861c815
420,-81.5933574,27.9004668,25,dr martin luther king jr blvd s,,LAKE WALES,POLK,fl,33853,273002905500002120,04d45acf7dbcec66
421,-81.96185990000001,28.0632202,1420,martin luther king jr ave n,,LAKELAND,POLK,fl,33805,232812000000014040,bf1441023bf6b6a0
422,-81.5940188,27.906141700000003,517,dr martin luther king jr blvd n,,LAKE WALES,POLK,fl,33853,273002908500000310,e8b5f7f038597f8c
423,-81.8026896,27.747042800000003,34,sw martin luther king jr st,,FORT MEADE,POLK,fl,33841,253134478500002101,5fdbf021d4fc2604
424,-81.59342600000001,27.9025016,130,dr martin luther king blvd n,,LAKE WALES,POLK,fl,33853,273002908000002140,22a4b65cc3e26f1e
425,-81.96172359999998,28.0565593,1046,martin luther king jr hwy,,LAKELAND,POLK,fl,33805,232812056500001013,c1f7101e2c5ce040
426,-81.62354140000001,28.017381,213,dr martin luther king st sw,,DUNDEE,POLK,fl,33838,272828844000007240,19fdd2b2b03d7c33
427,-81.47654159999999,29.6801831,9501,luther beck rd,,HASTINGS,ST_JOHNS,fl,32145,0494500000,12e88469ccb6e418
428,-80.24220720000001,27.1940473,645,se martin luther king jr blvd,,STUART,MARTIN,fl,34994,04-38-41-000-000-00210-2,ef16f81b80809273
429,-80.2463192,27.1943576,407,se martin luther king blvd,,STUART,MARTIN,fl,34994,04-38-41-004-010-00130-4,dbb9534d68f56464
430,-83.7231257,30.277065399999998,9085,luther wilson rd,,Greenville,TAYLOR,fl,32331,01450-000,a7edb780094e2818
431,-82.0424084,28.8626266,108-10,108-10 dr martin luther king jr,,WILDWOOD,SUMTER,fl,34785,G06F034,88ef37a2a2bb7e58
432,-82.0448694,28.859188,415,dr martin luther king ave,,WILDWOOD,SUMTER,fl,34785,G06J052,798ac5039368d02c
433,-82.04260790000001,28.863152799999998,100,dr martin luther king dr,,WILDWOOD,SUMTER,fl,34785,G06F029,f9548bef6bf7bce8
434,-82.04268520000001,28.862984899999997,102-04,102-04 dr martin luther king jr,,WILDWOOD,SUMTER,fl,34785,G06F030,1435b0f4721da55d
435,-82.04273690000001,28.8628704,106,dr martin luther king jr,,WILDWOOD,SUMTER,fl,34785,G06F033,f729319ecc5b32d8
436,-82.0428493,28.862625199999997,112-14,112-14 dr martin luther king jr,,WILDWOOD,SUMTER,fl,34785,G06F041,48e97c5dc7c882e2
437,-81.87323959999999,27.205093100000003,1869,martin luther king jr st sw,,ARCADIA,DESOTO,fl,34266,01-38-24-0190-0040-0130,1b79ecb8aab1ace8
438,-81.85032259999998,27.2105163,129,luther ave s,,ARCADIA,DESOTO,fl,34266,31-37-25-0224-00O0-0150,ff4739d7a0ebbfed
439,-81.85031690000001,27.2148435,222,luther ave n,,ARCADIA,DESOTO,fl,34266,31-37-25-0224-00C0-0010,3f6836d01752664d
440,-82.6250398,30.198687699999997,843,martin luther king st ne,,,COLUMBIA,fl,,00-00-00-10669-000,b2d3bd946528e22f
441,-82.638428,30.1982945,164,martin luther king st nw,,LAKE CITY,COLUMBIA,fl,,00-00-00-11353-000,152608874f8ec274
442,-85.0390772,30.435561600000003,21031,martin luther king dr se,,BLOUNTSTOWN,CALHOUN,fl,32424,33-1N-08-0001-0023-0000,1a4d41ac0bfe0615
443,-85.0408347,30.435612899999995,20939,martin luther king ave se,,BLOUNTSTOWN,CALHOUN,fl,32424,33-1N-08-0003-0028-0000,e13972223fab7505
444,-85.0392073,30.436260100000002,21032,martin luther king bv se,,BLOUNTSTOWN,CALHOUN,fl,32424,33-1N-08-0180-0018-1500,c4362924e67fcc61
445,-84.9717187,30.5177988,7852,martin luther king rd nw,,BRISTOL,LIBERTY,fl,32321,006-1N-7W-01129 000,45e889cf5323557d
446,-81.8710657,26.641353000000002,2075-2115,2075-2115 dr martin luther king jr blvd,,FORT MYERS,LEE,fl,33901,134424P4004100020,d8f1e62ba27c58fc
447,-81.81839559999999,26.632827000000002,4460-4540,4460-4540 dr martin luther king jr blvd,,FORT MYERS,LEE,fl,33905,214425P1001000160,f63737b81bf9d46c
448,-87.21646059999999,30.443250800000005,3001,dr martin luther king jr dr a,,PENSACOLA,ESCAMBIA,fl,32503,042S306003009002,926d828b08f9efc6
449,-87.2177322,30.4474436,3435,n dr martin luther king dr rear,,PENSACOLA,ESCAMBIA,fl,32503,042S303001031001,4c076fd47f32fd3c
450,-87.2153907,30.441850800000005,2800,blk dr martin luther king jr,,PENSACOLA,ESCAMBIA,fl,32503,000S009025041343,5902bf3176bf8898
451,-87.2129377,30.4251826,1101,n dr martin luther king jr dr,,PENSACOLA,ESCAMBIA,fl,32503,000S009020022036,7e7d770fd09d8483
452,-87.2170058,30.446042900000002,3300,blk dr martin luther king jr dr,,PENSACOLA,ESCAMBIA,fl,32503,042S306003009005,abf5e92c3cb9bc2c
453,-86.5720932,30.754601300000004,490,martin luther king jr.,,CRESTVIEW,OKALOOSA,fl,32536,17-3N-23-2490-0077-0100,f26fcc9fd02c6534
454,-86.5692531,30.7564542,194,martin luther king ave w,,CRESTVIEW,OKALOOSA,fl,32536,17-3N-23-2490-0013-0760,18a99c258a18c6b7
